"Date","Total nonfarm job openings","Total nonfarm hires","Total nonfarm separations","Total private job openings","Total private hires","Total private separations","Government job openings","Government hires","Government separations",
"Jan 2015","5,344,000","5,061,000","4,886,000","4,818,000","4,744,000","4,577,000","526,000","316,000","309,000",
"Feb 2015","5,466,000","5,127,000","4,869,000","4,950,000","4,807,000","4,557,000","515,000","320,000","312,000",
"Mar 2015","5,210,000","5,126,000","5,102,000","4,709,000","4,797,000","4,765,000","501,000","328,000","337,000",
"Apr 2015","5,598,000","5,196,000","4,944,000","5,077,000","4,847,000","4,626,000","521,000","349,000","318,000",
"May 2015","5,563,000","5,142,000","4,825,000","5,040,000","4,819,000","4,504,000","523,000","323,000","321,000",
"Jun 2015","5,248,000","5,125,000","4,978,000","4,778,000","4,789,000","4,635,000","471,000","336,000","343,000",
"Jul 2015","6,056,000","5,150,000","4,848,000","5,507,000","4,798,000","4,531,000","548,000","352,000","317,000",
"Aug 2015","5,467,000","5,163,000","5,032,000","4,973,000","4,822,000","4,708,000","494,000","341,000","324,000",
"Sep 2015","5,488,000","5,287,000","5,110,000","5,018,000","4,964,000","4,774,000","470,000","323,000","335,000",
"Oct 2015","5,773,000","5,338,000","5,032,000","5,246,000","4,978,000","4,688,000","527,000","360,000","344,000",
"Nov 2015","5,708,000","5,358,000","5,089,000","5,185,000","5,007,000","4,759,000","523,000","352,000","331,000",
"Dec 2015","5,845,000","5,540,000","5,225,000","5,304,000","5,168,000","4,878,000","541,000","371,000","347,000",
"Jan 2016","6,012,000","5,220,000","5,099,000","5,497,000","4,867,000","4,762,000","515,000","353,000","337,000",
"Feb 2016","5,770,000","5,470,000","5,265,000","5,282,000","5,126,000","4,940,000","488,000","344,000","325,000",
"Mar 2016","6,129,000","5,359,000","5,133,000","5,633,000","4,995,000","4,807,000","496,000","364,000","326,000",
"Apr 2016","5,803,000","5,294,000","5,110,000","5,301,000","4,952,000","4,777,000","502,000","342,000","333,000",
"May 2016","5,777,000","5,197,000","5,176,000","5,239,000","4,838,000","4,826,000","538,000","359,000","350,000",
"Jun 2016","5,742,000","5,281,000","5,118,000","5,262,000","4,929,000","4,714,000","479,000","353,000","404,000",
"Jul 2016","5,962,000","5,426,000","5,065,000","5,375,000","5,021,000","4,783,000","587,000","405,000","283,000",
"Aug 2016","5,677,000","5,327,000","5,204,000","5,166,000","4,977,000","4,816,000","511,000","351,000","388,000",
"Sep 2016","5,868,000","5,306,000","4,985,000","5,340,000","4,912,000","4,645,000","527,000","395,000","340,000",
"Oct 2016","5,591,000","5,210,000","5,125,000","5,107,000","4,895,000","4,783,000","484,000","315,000","342,000",
"Nov 2016","5,971,000","5,308,000","5,139,000","5,394,000","4,976,000","4,803,000","577,000","332,000","335,000",
"Dec 2016","5,964,000","5,343,000","5,071,000","5,404,000","5,011,000","4,768,000","560,000","332,000","303,000",
"Jan 2017","5,617,000","5,499,000","5,320,000","5,120,000","5,147,000","4,980,000","497,000","352,000","340,000",
"Feb 2017","5,923,000","5,350,000","5,176,000","5,418,000","5,004,000","4,816,000","505,000","346,000","360,000",
"Mar 2017","5,811,000","5,395,000","5,280,000","5,305,000","5,058,000","4,948,000","506,000","336,000","333,000",
"Apr 2017","6,091,000","5,272,000","5,091,000","5,547,000","4,937,000","4,756,000","543,000","335,000","336,000",
"May 2017","5,826,000","5,477,000","5,270,000","5,275,000","5,127,000","4,917,000","551,000","349,000","352,000",
"Jun 2017","6,305,000","5,635,000","5,463,000","5,731,000","5,295,000","5,130,000","574,000","339,000","333,000",
"Jul 2017","6,238,000","5,497,000","5,338,000","5,690,000","5,148,000","5,013,000","548,000","348,000","325,000",
"Aug 2017","6,276,000","5,519,000","5,334,000","5,774,000","5,210,000","4,980,000","503,000","309,000","354,000",
"Sep 2017","6,320,000","5,450,000","5,289,000","5,757,000","5,095,000","4,955,000","563,000","355,000","335,000",
"Oct 2017","6,408,000","5,581,000","5,397,000","5,855,000","5,227,000","5,072,000","553,000","355,000","325,000",
"Nov 2017","6,271,000","5,494,000","5,283,000","5,736,000","5,125,000","4,941,000","535,000","370,000","341,000",
"Dec 2017","6,336,000","5,421,000","5,249,000","5,758,000","5,062,000","4,890,000","578,000","360,000","359,000",
"Jan 2018","6,621,000","5,512,000","5,288,000","6,029,000","5,185,000","4,953,000","591,000","327,000","336,000",
"Feb 2018","6,552,000","5,624,000","5,319,000","5,956,000","5,271,000","4,984,000","596,000","353,000","335,000",
"Mar 2018","6,818,000","5,623,000","5,500,000","6,191,000","5,282,000","5,153,000","628,000","340,000","347,000",
"Apr 2018","6,877,000","5,590,000","5,441,000","6,284,000","5,240,000","5,098,000","593,000","350,000","343,000",
"May 2018","7,016,000","5,859,000","5,492,000","6,420,000","5,504,000","5,152,000","596,000","354,000","340,000",
"Jun 2018","7,230,000","5,760,000","5,566,000","6,584,000","5,373,000","5,215,000","646,000","387,000","352,000",
"Jul 2018","7,190,000","5,649,000","5,577,000","6,544,000","5,303,000","5,202,000","646,000","346,000","374,000",
"Aug 2018","7,208,000","5,815,000","5,543,000","6,483,000","5,426,000","5,214,000","725,000","389,000","329,000",
