Characteristic,TotalCivilian ,TotalEmpLaidOff,PercentEmpLaidOff,ReceivedPay,NotReceivedPay,TotalUnableToWork,ReceivedPay.1,NotReceivedPay.1,PredictedEmpLaidOff_LR,PredictedEmpLaidOff_Ridge,PredictedEmpLaidOff_Lasso,PredictedEmpLaidOff_Elastic,PredictedEmpLaidOff_DT,PredictedEmpLaidOff_RF
Agriculture and related industries,2318.1724137931033,65.89655172413794,2.8275862068965516,23.266320400916,58.206896551724135,100.0,15.533130655234228,84.50438946200312,73.0,73.0,74.0,74.0,77.0,74.0
"Management, professional, and related occupations",65221.96551724138,2301.8275862068967,3.617241379310345,537.551724137931,1764.3793103448277,100.0,23.17241379310345,76.82758620689656,2291.0,2291.0,2291.0,2291.0,2302.0,2132.0
"Natural resources, construction, and maintenance occupations",13865.51724137931,663.3448275862069,4.958620689655173,80.79310344827586,582.551724137931,100.0,10.837931034482759,89.16206896551724,663.0,663.0,663.0,663.0,650.0,657.0
Nonagricultural industries,150224.3103448276,6406.724137931034,4.417241379310345,1113.0344827586207,5293.793103448276,100.0,17.520689655172415,82.4793103448276,6406.0,6406.0,6406.0,6406.0,6407.0,6117.0
"Production, transportation, and material moving occupations",19178.689655172413,741.7586206896551,4.096551724137931,128.31034482758622,613.2758620689655,100.0,18.53103448275862,81.46896551724137,740.0,740.0,740.0,740.0,772.0,746.0
Sales and office occupations,30128.55172413793,1155.655172413793,3.920689655172414,201.20689655172413,954.3103448275862,100.0,19.03103448275862,80.96896551724137,1156.0,1156.0,1156.0,1156.0,1154.0,1195.0
Self-employed workers,16057.793103448275,1786.4137931034484,11.365517241379312,109.3103448275862,1677.2068965517242,100.0,6.586206896551724,93.41379310344827,1780.0,1780.0,1780.0,1780.0,1870.0,1773.0
Service occupations,24147.655172413793,1610.2758620689656,7.155172413793103,173.10344827586206,1437.2758620689656,100.0,10.206896551724139,89.79310344827586,1604.0,1604.0,1604.0,1604.0,1610.0,1695.0
"Total, 16 years and over",152542.37931034484,6472.724137931034,4.396551724137931,1120.7931034482758,5351.896551724138,100.0,17.489655172413794,82.51034482758621,6474.0,6474.0,6474.0,6474.0,6473.0,6140.0
Wage and salary workers,136384.8620689655,4679.896551724138,3.5586206896551724,1011.4827586206897,3668.4137931034484,100.0,22.362068965517242,77.63793103448276,4687.0,4687.0,4687.0,4687.0,4680.0,4691.0
    Building and grounds cleaning and maintenance occupations,5406.482758620689,360.55172413793105,7.024137931034482,37.10344827586207,323.2758620689655,100.0,8.900554444833768,91.10319756688996,357.0,357.0,357.0,357.0,382.0,368.0
    Construction,11323.793103448275,617.9310344827586,5.658620689655172,66.51724137931035,551.3448275862069,100.0,10.055172413793104,89.9448275862069,616.0,616.0,616.0,616.0,650.0,624.0
